State,S.No.,Parameters,Type,April,May,June,July,August,September,October,November,December,January,February,March,Total
A & N Islands,1.1,Total number of pregnant women Registered for ANC,TOTAL,1621,1047,559,690,547,NA,1397,1338,NA,NA,NA,NA,7199
A & N Islands,1.1.1,Of which Number registered within first trimester (within 12 weeks),TOTAL,NA,954,487,558,537,NA,1303,1280,NA,NA,NA,NA,5119
A & N Islands,1.2,Number of Pregnant women registered under JSY,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,1.3,Number of pregnant women received 3 ANC check ups during pregnancy,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,1.4.1,Number of pregnant women given TT1 during current pregnancy,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,1.4.2,Number of pregnant women given TT2 or Booster during current pregnancy,TOTAL,416,831,394,567,488,NA,515,434,NA,NA,NA,NA,3645
A & N Islands,1.5,Total number of pregnant women given 100 IFA tablets,TOTAL,137,768,484,606,520,NA,619,529,NA,NA,NA,NA,3663
A & N Islands,1.6.1,Number of new cases of Hypertension (BP>140/90) detected in Pregnant women at the institution,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,1.6.2,Number of Eclampsia cases managed during delivery,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,1.7.1,Number of Pregnant women with anaemia i.e. Hb level<11 (tested cases),TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,1.7.2,Number of Pregnant women having severe anaemia (Hb<7) treated at institution,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,1.8,Number of pregnancy test kits used at SC level,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,2.1.1.a,Number of deliveries conducted at Home and attended by trained SBA(i.e. Doctor or Nurse or ANM),TOTAL,NA,8,1,1,5,NA,NA,NA,NA,NA,NA,NA,15
A & N Islands,2.1.1.b,Number of deliveries conducted at Home and attended by non trained SBA (i.e. trained TBA or Relatives etc.),TOTAL,NA,109,40,75,58,NA,NA,NA,NA,NA,NA,NA,282
A & N Islands,2.1.1.c,Total number of deliveries conducted at Home and attended by trained or non-trained SBA (i.e. sum of 2.1.1.a and 2.1.1.b),TOTAL,NA,117,41,76,63,NA,NA,NA,NA,NA,NA,NA,297
A & N Islands,2.1.2,Number of newborns visited within 24 hours of delivery for deliveries conducted at home,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,2.1.3,Number of mothers paid JSY incentive for deliveries conducted at home,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,2.2,Deliveries conducted at Public Institutions (Including C-Sections),TOTAL,742,755,316,398,376,NA,1013,1029,NA,NA,NA,NA,4629
A & N Islands,2.2.1,"Out of 2.2, Number discharged under 48 hours of delivery",TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,2.2.2.a,Number of mothers paid JSY Incentive for deliveries conducted at Public Institutions,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,2.2.2.b,Number of ASHAs paid JSY Incentive for deliveries conducted at Public Institutions,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,2.2.2.c,Number of cases of deliveries conducted at Public Institutions where JSY incentive was paid to ANMs or AWWs [only for High Performing States (HPS)],TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,2.3,Deliveries conducted at Private Institutions (Including C-Sections),TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,2.3.1.a,Number of mothers paid JSY Incentive for deliveries conducted at accredited Private Institutions,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,2.3.1.b,Number of ASHAs paid JSY Incentive for deliveries conducted at accredited Private Institutions,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,2.3.1.c,Number of cases of deliveries conducted at accredited Private Institutions where JSY incentive was paid to ANMs or AWWs [only for High Performing States (HPS)],TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,3.1.1,Number of Caesarean (C-Section) deliveries performed at PHCs (Primary Health Centre),TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,3.1.2,Number of Caesarean (C-Section) deliveries performed at CHCs (Community Health Centre),TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,3.1.3,Number of Caesarean (C-Section) deliveries performed at SDHs (Sub-divisional Hospital) or DHs (District Hospital),TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,3.1.4,Number of Caesarean (C-Section) deliveries performed at other State owned public institutions,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,3.1.5,"Total Number of Caesarean (C-Section) deliveries performed at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 3.1.1 to 3.1.4)",TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,3.2,No. of C-section deliveries performed at Private facilities,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,4.1.1.a,Number of male live births,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,4.1.1.b,Number of female live births,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,4.1.1.c,Total number of male and female live births (4.1.1.a and 4.1.1.b),TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,4.1.2,Number of still births,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,4.1.3,Number of Abortions (spontaneous or induced),TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,4.2.1,Number of Newborns weighed at birth,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,4.2.2,Number of Newborns having weight less than 2.5 kg,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,4.3,Number of Newborns breast fed within 1 hour of birth,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
